ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-06-01,104.98845751522875,33.04697815675949,181.75501165041464,104.98845751522875,104.98845751522875,2.5915852404518422,2.5915852404518422,2.5915852404518422,2.5915852404518422,2.5915852404518422,2.5915852404518422,0.0,0.0,0.0,107.5800427556806
2019-07-01,104.62621739143785,25.389437375333728,173.99604921908687,104.62621739143785,104.62621739143785,-4.083497732075423,-4.083497732075423,-4.083497732075423,-4.083497732075423,-4.083497732075423,-4.083497732075423,0.0,0.0,0.0,100.54271965936242
2019-08-01,104.25190259685394,31.50944992536546,188.79769830269572,104.25190259685394,104.25190259685394,2.295194607271886,2.295194607271886,2.295194607271886,2.295194607271886,2.295194607271886,2.295194607271886,0.0,0.0,0.0,106.54709720412582
2019-09-01,103.87758780227,37.43383495192267,189.21898196522883,103.87758780227,103.87758780227,11.089193416510119,11.089193416510119,11.089193416510119,11.089193416510119,11.089193416510119,11.089193416510119,0.0,0.0,0.0,114.96678121878011
2019-10-01,103.51534767178607,25.245544365998942,171.67831947364738,103.51534767178607,103.51534767178607,-9.901650472808482,-9.901650472808482,-9.901650472808482,-9.901650472808482,-9.901650472808482,-9.901650472808482,0.0,0.0,0.0,93.61369719897759
2019-11-01,103.14103287028601,25.899571628487404,177.3935129086416,103.14103287028601,103.14103287028601,-0.84642404513599,-0.84642404513599,-0.84642404513599,-0.84642404513599,-0.84642404513599,-0.84642404513599,0.0,0.0,0.0,102.29460882515002
2019-12-01,102.77879273980209,-51.03593449674819,104.12681979585268,102.77879273980209,102.77879273980209,-76.62385874412996,-76.62385874412996,-76.62385874412996,-76.62385874412996,-76.62385874412996,-76.62385874412996,0.0,0.0,0.0,26.154933995672124
2020-01-01,102.40447794313417,70.00312522972045,222.4335835226698,102.40447794313417,102.40447794313417,42.8568655172489,42.8568655172489,42.8568655172489,42.8568655172489,42.8568655172489,42.8568655172489,0.0,0.0,0.0,145.26134346038307
2020-02-01,102.03016314646625,49.319060100450606,205.15940750988193,102.03016314646625,102.03016314646625,25.108976352410487,25.108976352410487,25.108976352410487,25.108976352410487,25.108976352410487,25.108976352410487,0.0,0.0,0.0,127.13913949887674
2020-03-01,101.67999769151885,40.423133016041504,196.46872529046811,101.67999769151885,101.67999769151885,17.97147320720787,17.97147320720787,17.97147320720787,17.97147320720787,17.97147320720787,17.97147320720787,0.0,0.0,0.0,119.65147089872671
2020-04-01,101.30568289485096,22.272008852916375,171.3383503190965,101.30568289485096,101.30568289485096,-2.877418927399124,-2.877418927399124,-2.877418927399124,-2.877418927399124,-2.877418927399124,-2.877418927399124,0.0,0.0,0.0,98.42826396745184
2020-05-01,100.94344280805876,10.874555888003316,169.82884972743864,100.94344280805876,100.94344280805876,-7.37388168161144,-7.37388168161144,-7.37388168161144,-7.37388168161144,-7.37388168161144,-7.37388168161144,0.0,0.0,0.0,93.56956112644733
2020-06-01,100.56912805170683,24.274648727583873,177.15419450318495,100.56912805170683,100.56912805170683,1.7722623641012238,1.7722623641012238,1.7722623641012238,1.7722623641012238,1.7722623641012238,1.7722623641012238,0.0,0.0,0.0,102.34139041580805
2020-07-01,100.20688796491461,18.572395434251675,172.55862927365158,100.20688796491461,100.20688796491461,-4.879349799992104,-4.879349799992104,-4.879349799992104,-4.879349799992104,-4.879349799992104,-4.879349799992104,0.0,0.0,0.0,95.32753816492252
2020-08-01,99.83257328564476,23.081095028840377,178.81714545538014,99.83257328564476,99.83257328564476,1.936501607921788,1.936501607921788,1.936501607921788,1.936501607921788,1.936501607921788,1.936501607921788,0.0,0.0,0.0,101.76907489356654
2020-09-01,99.45825860637488,30.582306199146245,192.91060104698636,99.45825860637488,99.45825860637488,10.936254148167402,10.936254148167402,10.936254148167402,10.936254148167402,10.936254148167402,10.936254148167402,0.0,0.0,0.0,110.39451275454229
2020-10-01,99.09601859417825,12.379142901090097,166.23032464768346,99.09601859417825,99.09601859417825,-8.848840181247192,-8.848840181247192,-8.848840181247192,-8.848840181247192,-8.848840181247192,-8.848840181247192,0.0,0.0,0.0,90.24717841293105
2020-11-01,98.72170391490839,21.033284867971233,176.50482865601725,98.72170391490839,98.72170391490839,0.5443921164123899,0.5443921164123899,0.5443921164123899,0.5443921164123899,0.5443921164123899,0.5443921164123899,0.0,0.0,0.0,99.26609603132079
2020-12-01,98.35978938835895,-61.12030044638443,97.12913503566753,98.35978938835895,98.35978938835895,-77.28347495034016,-77.28347495034016,-77.28347495034016,-77.28347495034016,-77.28347495034016,-77.28347495034016,0.0,0.0,0.0,21.076314438018784
